CONTAINER ID   NAME                 CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O   PIDS
21c022451e90   vsp-cutlery-47       0.00%     1.613MiB / 30.51GiB   0.01%     137kB / 124kB     0B / 0B     14
17574405247e   vsp-philosopher-46   0.00%     1.805MiB / 30.51GiB   0.01%     246kB / 233kB     0B / 0B     14
19eab41275dc   vsp-philosopher-32   0.00%     1.723MiB / 30.51GiB   0.01%     193kB / 182kB     0B / 0B     14
a1e3d1a4b65a   vsp-cutlery-36       0.00%     1.578MiB / 30.51GiB   0.01%     140kB / 127kB     0B / 0B     14
84b2225324bf   vsp-cutlery-34       0.00%     1.582MiB / 30.51GiB   0.01%     136kB / 124kB     0B / 0B     14
5d1e88c67a4a   vsp-cutlery-50       0.00%     1.672MiB / 30.51GiB   0.01%     136kB / 124kB     0B / 0B     14
a8a348e46afb   vsp-cutlery-16       0.00%     1.625MiB / 30.51GiB   0.01%     139kB / 127kB     0B / 0B     14
7d764f9bea96   vsp-philosopher-40   0.00%     1.789MiB / 30.51GiB   0.01%     250kB / 239kB     0B / 0B     14
ee3faf5e2c63   vsp-cutlery-30       0.00%     1.621MiB / 30.51GiB   0.01%     138kB / 125kB     0B / 0B     14
27f9107138e8   vsp-cutlery-12       0.00%     1.578MiB / 30.51GiB   0.01%     136kB / 124kB     0B / 0B     14
8a2e844cb72e   vsp-philosopher-27   0.00%     1.789MiB / 30.51GiB   0.01%     189kB / 178kB     0B / 0B     14
1a51acf84838   vsp-philosopher-50   0.00%     1.73MiB / 30.51GiB    0.01%     249kB / 240kB     0B / 0B     14
4e94d45b6094   vsp-philosopher-30   0.00%     1.801MiB / 30.51GiB   0.01%     196kB / 184kB     0B / 0B     14
975e68c9e21e   vsp-philosopher-38   0.00%     1.664MiB / 30.51GiB   0.01%     246kB / 237kB     0B / 0B     14
352600c46948   vsp-philosopher-33   0.00%     1.785MiB / 30.51GiB   0.01%     185kB / 175kB     0B / 0B     14
8a87db314d8c   vsp-cutlery-41       0.00%     1.617MiB / 30.51GiB   0.01%     132kB / 120kB     0B / 0B     14
6cf5d3f2dfca   vsp-philosopher-8    0.00%     1.762MiB / 30.51GiB   0.01%     246kB / 235kB     0B / 0B     14
0365ea78eb08   vsp-philosopher-37   0.00%     1.719MiB / 30.51GiB   0.01%     189kB / 179kB     0B / 0B     14
